,Food,Units ,Price,,,
0,        Banana_mean     ,   lb,16.000000,,  ,
1,          Beef_mean     ,   lb,146.000000,,  ,
2,        Butter_mean     ,   lb,109.000000,,  ,
3,          eggs_mean     ,12,63.000000,,  ,
4,       lettuce_mean     , head,22.000000,,  ,
5,         onion_mean     ,   lb,12.000000,,  ,
6,        potato_mean     ,   lb,16.000000,,  ,
7,        tomato_mean     ,   lb,11.000000,,  ,
8,       oranges_mean     ,   lb,2.000000,,  ,
9,           pea_mean     ,   kg,10.567551,,  ,
10,        Barley_mean     ,100kg,771.600000,,  ,
11,       Lentils_mean     ,   kg,17.953563,,  ,
12,     Chickpeas_mean     ,   kg,9.815581,,  ,
13,          Goat_mean, goat,986.205882,,  ,
14, Haricot_Beans_mean     ,   kg,9.250000,,  ,
15,         Maize_mean     ,   kg,6.569940,,  ,
16,Sweet_Potatoes_mean     ,   kg,3.580000,,  ,
17,          Milk_mean     ,    L,30.355556,,  ,
18,       Sorghum_mean     ,   kg,8.374840,,  ,
19,         Sugar_mean     ,   kg,20.564407,,  ,
20,          Teff_mean     ,100kg,1141.469693,,  ,
21,         Wheat_mean     ,   kg,9.433715,,  ,